Day Index,Clicks
2020-01-21,92
2020-01-22,450
2020-01-23,1423
2020-01-24,926
2020-01-25,589
2020-01-26,709
2020-01-27,5399
2020-01-28,4648
2020-01-29,1380
2020-01-30,2934
2020-01-31,4385
2020-02-01,1775
2020-02-02,6589
2020-02-03,2882
2020-02-04,1888
2020-02-05,175
2020-02-06,148
2020-02-07,1273
2020-02-08,6741
2020-02-09,7312
2020-02-10,4844
2020-02-11,1139
2020-02-12,549
2020-02-13,1334
2020-02-14,707
2020-02-15,696
2020-02-16,325
2020-02-17,247
2020-02-18,310
2020-02-19,156
2020-02-20,80
2020-02-21,113
2020-02-22,1049
2020-02-23,2819
2020-02-24,2840
2020-02-25,2634
2020-02-26,6816
2020-02-27,18634
2020-02-28,10739
2020-02-29,8647
2020-03-01,8962
2020-03-02,4522
2020-03-03,11459
2020-03-04,10405
2020-03-05,2556
2020-03-06,5535
2020-03-07,2071
2020-03-08,885
2020-03-09,9106
2020-03-10,7601
2020-03-11,3410
2020-03-12,1115
2020-03-13,355
2020-03-14,267
2020-03-15,15220
2020-03-16,55059
2020-03-17,40295
2020-03-18,34232
2020-03-19,19984
2020-03-20,14001
2020-03-21,12071
2020-03-22,5185
2020-03-23,11241
2020-03-24,27151
2020-03-25,12598
2020-03-26,6376
2020-03-27,6793
2020-03-28,1486
2020-03-29,925
2020-03-30,4429
2020-03-31,1022
2020-04-01,4502
2020-04-02,2628
2020-04-03,21950
2020-04-04,15833
2020-04-05,9346
2020-04-06,9270
2020-04-07,9436
2020-04-08,4836
2020-04-09,3704
2020-04-10,4956
2020-04-11,5073
2020-04-12,4825
2020-04-13,7936
2020-04-14,11373
2020-04-15,4289
2020-04-16,3003
2020-04-17,1103
2020-04-18,2634
2020-04-19,1269
2020-04-20,736
2020-04-21,910
2020-04-22,10591
2020-04-23,1594
2020-04-24,276
2020-04-25,26996
2020-04-26,21792
2020-04-27,20572
2020-04-28,36783
2020-04-29,19702
2020-04-30,7695
2020-05-01,6510
2020-05-02,4194
2020-05-03,6258
2020-05-04,4042
2020-05-05,3612
2020-05-06,2671
2020-05-07,1549
2020-05-08,978
2020-05-09,9149
2020-05-10,12469
2020-05-11,8002
2020-05-12,2097
2020-05-13,1110
2020-05-14,802
2020-05-15,1236
2020-05-16,1254
2020-05-17,2049
2020-05-18,28042
2020-05-19,5094
2020-05-20,1696
2020-05-21,1232
2020-05-22,9295
2020-05-23,9416
2020-05-24,17499
2020-05-25,8542
2020-05-26,2301
2020-05-27,1091
2020-05-28,890
2020-05-29,655
2020-05-30,535
2020-05-31,233
2020-06-01,2770
2020-06-02,1387
2020-06-03,1761
2020-06-04,4962
2020-06-05,3767
2020-06-06,3831
2020-06-07,3978
2020-06-08,2389
2020-06-09,239
2020-06-10,1021
2020-06-11,369
2020-06-12,276
2020-06-13,611
2020-06-14,1188
2020-06-15,629
2020-06-16,1316
2020-06-17,238
2020-06-18,209
2020-06-19,43
2020-06-20,62
2020-06-21,54
2020-06-22,280
2020-06-23,210
2020-06-24,125
2020-06-25,97
2020-06-26,5243
2020-06-27,1666
2020-06-28,543
2020-06-29,703
2020-06-30,556
2020-07-01,2734
2020-07-02,608
2020-07-03,151
2020-07-04,96
2020-07-05,113
2020-07-06,180
2020-07-07,142
2020-07-08,2356
2020-07-09,878
2020-07-10,743
2020-07-11,252
2020-07-12,95
2020-07-13,2179
2020-07-14,1465
2020-07-15,5448
2020-07-16,6786
2020-07-17,2141
2020-07-18,1321
2020-07-19,1169
2020-07-20,2445
2020-07-21,593
2020-07-22,667
2020-07-23,1894
2020-07-24,160
2020-07-25,12494
2020-07-26,5066
2020-07-27,1810
2020-07-28,775
2020-07-29,228
2020-07-30,227
2020-07-31,894
2020-08-01,5539
2020-08-02,699
2020-08-03,1521
2020-08-04,3985
2020-08-05,0
